,Variable,Coef
114,N_RHC,0.00013247623951376987
44,Per_Capita_Exp_TOTAL_PY,-8.839056245467242e-05
21,UpdatedBnchmk,8.42777783221534e-05
113,N_FQHC,5.910651170368957e-05
111,P_SNF_ADM,5.380916859067347e-05
66,N_AB_Year_ESRD_PY,5.263790564914636e-05
61,N_AB_Year_ESRD_BY3,-5.2423306613275076e-05
103,P_EDV_Vis_HOSP,3.604375483297616e-05
95,ADM_S_Trm,-3.407206603819005e-05
91,CapAnn_AmbPay,2.7816184980457898e-05
86,CapAnn_INP_Psych,-2.488492154822233e-05
63,N_AB_Year_AGED_Dual_BY3,-2.4846472870213508e-05
68,N_AB_Year_AGED_Dual_PY,2.269389338546048e-05
83,CapAnn_INP_S_trm,-1.863831228825726e-05
101,prov_Rate_1000,-1.781670269834037e-05
105,P_MRI_VIS,1.4929668053973391e-05
82,CapAnn_INP_All,1.1991225420193151e-05
67,N_AB_Year_DIS_PY,-1.1147342969284742e-05
121,N_PA,1.1030121776073874e-05
62,N_AB_Year_DIS_BY3,1.0501374201671855e-05
