,Variable,Coef
14,QualPerfShare,-0.11460743500215743
15,FinalShareRate,0.10704853053505486
114,prop_aged_dual,-0.05254332547404896
36,CMS_HCC_RiskScore_AGND_BY1,0.041341448093773936
112,prop_ESRD,0.04074515482709076
4,MinSavPerc,-0.03928933208561797
41,CMS_HCC_RiskScore_ESRD_BY3,-0.03156963489504587
40,CMS_HCC_RiskScore_AGND_BY2,0.03125490447539059
44,CMS_HCC_RiskScore_AGND_BY3,-0.024199865275298483
37,CMS_HCC_RiskScore_ESRD_BY2,0.023664861823469927
33,CMS_HCC_RiskScore_ESRD_BY1,0.02310540038454914
43,CMS_HCC_RiskScore_AGDU_BY3,-0.021839233258770564
46,CMS_HCC_RiskScore_DIS_PY,0.01749534913194389
48,CMS_HCC_RiskScore_AGND_PY,-0.01501248096641889
113,prop_disabled,0.011520178559806653
45,CMS_HCC_RiskScore_ESRD_PY,0.010283687405357273
38,CMS_HCC_RiskScore_DIS_BY2,-0.010256069221484448
